university_rank,university,course,gmat_average,gmat_count,gre_average,gre_count,experience_average,experience_count,gpa_average,gpa_count,toefl_average,toefl_count,ielts_average,ielts_count
1,Massachusetts Institute of Technology (MIT),Engineering Management,0,0,0,0,0,0,0,0,0,0,0,0
2,Stanford University,Engineering Management,0,0,0,0,0,0,0,0,0,0,0,0
3,Columbia University,Engineering Management,0,0,0,0,0,0,0,0,0,0,0,0
4,Duke University,Engineering Management,0,0,0,0,0,0,0,0,0,0,0,0
5,Dartmouth College,Engineering Management,0,0,0,0,0,0,0,0,0,0,0,0
6,Northwestern University,Engineering Management,0,0,0,0,0,0,0,0,0,0,0,0
7,Purdue University,Engineering Management,0,0,0,0,0,0,0,0,0,0,0,0
8,Johns Hopkins University,Engineering Management,0,0,0,0,0,0,0,0,0,0,0,0
9,University of Southern California (USC),Engineering Management,0,0,0,0,0,0,0,0,0,0,0,0
10,North Carolina State University (NCSU),Engineering Management,0,0,0,0,0,0,0,0,0,0,0,0
11,University of Massachusetts Amherst,Engineering Management,0,0,0,0,0,0,0,0,0,0,0,0
12,"New York University, Tandon (NYU Tandon)",Engineering Management,0,0,0,0,0,0,0,0,0,0,0,0
13,Northeastern University,Engineering Management,0,0,0,0,0,0,0,0,0,0,0,0
14,Cornell University,Engineering Management,0,0,0,0,0,0,0,0,0,0,0,0
15,San Jose State University,Engineering Management,0,0,0,0,0,0,0,0,0,0,0,0
16,"California State University, East Bay (CSU East Bay)",Engineering Management,0,0,0,0,0,0,0,0,0,0,0,0
17,University of Illinois Urbana-Champaign (UIUC),Engineering Management,0,0,0,0,0,0,0,0,0,0,0,0
18,University of Massachusetts Amherst,Engineering Management,0,0,0,0,0,0,0,0,0,0,0,0
19,New York University (NYU),Engineering Management,0,0,0,0,0,0,0,0,0,0,0,0
1,Massachusetts Institute of Technology (MIT),Computer Science,0,0,0,0,0,0,0,0,0,0,0,0
2,Stanford University,Computer Science,0,0,0,0,0,0,0,0,0,0,0,0
3,"University of California, Berkeley (UC Berkeley)",Computer Science,0,0,0,0,0,0,0,0,0,0,0,0
4,Carnegie Mellon University (CMU),Computer Science,0,0,0,0,0,0,0,0,0,0,0,0
5,California Institute of Technology (Caltech),Computer Science,0,0,0,0,0,0,0,0,0,0,0,0
6,Harvard University,Computer Science,0,0,0,0,0,0,0,0,0,0,0,0
7,University of Florida,Computer Science,0,0,0,0,0,0,0,0,0,0,0,0
8,University of Southern California (USC),Computer Science,0,0,0,0,0,0,0,0,0,0,0,0
9,"University of California, Davis (UC Davis)",Computer Science,0,0,0,0,0,0,0,0,0,0,0,0
10,Clemson University,Computer Science,0,0,0,0,0,0,0,0,0,0,0,0
11,Georgia Institute of Technology (Georgia Tech),Computer Science,0,0,0,0,0,0,0,0,0,0,0,0
12,"University of California, Irvine (UCI)",Computer Science,0,0,0,0,0,0,0,0,0,0,0,0
13,University of Pennsylvania,Computer Science,0,0,0,0,0,0,0,0,0,0,0,0
14,"University of Wisconsin, Madison",Computer Science,0,0,0,0,0,0,0,0,0,0,0,0
15,"University of California, San Diego (UCSD)",Computer Science,0,0,0,0,0,0,0,0,0,0,0,0
16,"Purdue University, West Lafayette",Computer Science,0,0,0,0,0,0,0,0,0,0,0,0
17,New York University (NYU),Computer Science,0,0,0,0,0,0,0,0,0,0,0,0
18,Virginia Tech,Computer Science,0,0,0,0,0,0,0,0,0,0,0,0
19,"University of Massachusetts, Amherst",Computer Science,0,0,0,0,0,0,0,0,0,0,0,0
20,North Carolina State University (NCSU),Computer Science,0,0,0,0,0,0,0,0,0,0,0,0
21,"University of Texas, Austin",Computer Science,0,0,0,0,0,0,0,0,0,0,0,0
22,"University of Michigan, Ann Arbor",Computer Science,0,0,0,0,0,0,0,0,0,0,0,0
23,Duke University,Computer Science,0,0,0,0,0,0,0,0,0,0,0,0
24,University of Illinois Urbana-Champaign (UIUC),Computer Science,0,0,0,0,0,0,0,0,0,0,0,0
25,Santa Clara State University,Computer Science,0,0,0,0,0,0,0,0,0,0,0,0
26,"University of Washington, Seattle",Computer Science,0,0,0,0,0,0,0,0,0,0,0,0
27,University of Connecticut,Computer Science,0,0,0,0,0,0,0,0,0,0,0,0
28,Arizona State University (ASU),Computer Science,0,0,0,0,0,0,0,0,0,0,0,0
29,"Rutgers University, New Brunswick",Computer Science,0,0,0,0,0,0,0,0,0,0,0,0
30,Columbia University,Computer Science,0,0,0,0,0,0,0,0,0,0,0,0
